NL,67,3,11,3,0,1,9,0,0,0,25,0,0,8,0,1
NL,190,14,43,15,1,3,24,0,0,7,29,0,0,3,0,6
NL,69,10,17,2,1,1,6,3,0,4,15,0,1,0,1,0
AL,47,7,15,0,0,0,3,0,2,3,10,1,1,0,0,1
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NL,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
NL,40,7,10,1,1,1,3,0,0,2,15,0,0,4,0,1
AL,31,7,10,2,0,0,3,2,2,5,7,0,0,1,0,0
NL,30,0,2,1,0,0,0,0,0,0,23,0,0,4,0,0
NL,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,27,4,4,2,0,0,1,0,0,2,7,0,0,5,0,1
AL,240,31,73,12,3,1,26,13,7,14,41,1,10,5,0,4
NL,17,1,1,0,0,0,0,0,0,1,10,0,0,6,0,0
AL,189,22,52,10,3,0,17,9,3,11,17,0,0,8,2,3
NL,89,7,20,4,0,1,8,0,0,20,24,2,2,0,2,4
AL,181,21,43,7,1,1,15,3,0,8,35,0,0,0,0,4
NL,20,2,3,1,0,0,2,0,0,0,2,0,0,0,0,0
AL,100,10,26,4,0,1,9,0,0,8,24,0,0,1,0,4
AL,11,1,5,0,0,0,1,0,0,0,3,0,0,0,0,0
NL,514,82,147,43,1,20,82,18,3,60,130,4,4,0,9,9
AL,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
AL,279,46,73,10,0,18,47,3,1,44,104,2,8,1,1,2
AL,98,9,20,4,0,4,13,0,0,6,32,0,3,1,3,3
NL,415,72,108,19,4,19,51,37,6,20,98,1,8,6,3,6
AL,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
AL,102,14,28,5,2,2,17,0,0,8,26,0,0,0,1,4
AL,484,63,145,37,0,15,86,0,0,31,81,4,5,0,7,9
NL,145,12,43,10,1,3,22,2,0,11,29,1,0,0,1,1
NL,81,8,21,4,0,4,15,1,1,6,15,0,2,0,0,1
AL,54,7,13,2,1,0,4,0,0,0,9,0,0,1,0,0
NL,518,89,157,31,5,22,85,20,5,56,115,11,2,0,3,11
NL,9,0,1,0,0,0,1,0,0,2,5,0,0,1,0,0
NL,64,2,6,1,0,1,4,0,0,1,25,0,0,9,1,0
NL,205,21,48,13,0,2,12,3,3,13,29,0,0,1,0,9
